Birth Card,AGE,Mercury,Venus,Mars,Jupiter,Saturn ,Uranus,Neptune,LONG RANGE,PLUTO,RESULT,SUPPORT,DEVELOPMENT
8♥,7,8♠,K♣,9♥,Q♦,J♥,4♦,A♦,K♥,A♣,2♦,2♠,3♦
8♥,8,7♠,7♣,3♠,8♣,5♣,J♣,Q♦,8♠,10♠,Q♠,K♣,6♥
8♥,9,J♠,J♦,8♣,4♣,10♥,9♦,Q♥,J♣,8♦,4♠,8♠,4♣
8♥,10,2♣,A♦,2♦,7♦,3♣,J♥,4♣,10♠,Q♣,2♥,6♣,5♣
8♥,11,K♣,Q♦,7♦,J♣,2♠,3♠,5♦,5♥,6♠,6♣,2♦,5♥
8♥,12,7♣,A♦,4♠,8♦,6♥,4♦,J♣,K♣,K♠,9♣,A♦,4♦
8♥,13,J♥,Q♦,8♦,A♣,Q♠,2♦,9♠,7♥,K♥,10♠,A♥,5♠
8♥,14,J♣,4♥,6♦,9♣,K♣,2♣,2♦,Q♦,3♣,9♥,3♥,10♥
8♥,15,6♣,3♥,8♦,4♥,7♠,3♦,2♣,3♦,4♠,Q♣,Q♣,J♣
8♥,16,Q♦,K♥,4♥,10♦,9♣,4♠,5♦,A♥,6♥,5♥,10♦,J♦
8♥,17,7♦,4♣,A♥,5♥,A♠,A♦,10♦,4♠,J♠,Q♥,Q♠,3♠
8♥,18,9♦,K♥,5♥,6♦,10♥,J♣,A♦,8♣,2♠,Q♣,8♦,6♦
8♥,19,10♠,A♣,4♥,Q♠,2♦,6♣,J♣,J♦,Q♦,8♣,7♣,9♣
8♥,20,5♦,3♦,K♠,5♥,A♣,5♣,7♠,10♠,6♣,A♥,J♠,Q♥
8♥,21,2♦,3♥,4♥,4♠,9♥,K♣,J♥,10♥,A♠,9♣,10♣,10♠
8♥,22,6♣,J♦,4♠,5♠,3♠,A♠,K♦,7♦,9♦,K♠,4♠,4♥
8♥,23,8♠,Q♦,5♠,4♣,5♣,Q♠,A♦,4♠,J♠,6♠,4♥,4♠
8♥,24,3♣,K♠,3♦,A♣,Q♦,2♣,3♥,7♠,Q♠,9♣,10♠,10♣
8♥,25,8♣,2♠,A♠,2♦,5♦,5♥,3♦,J♠,6♥,7♣,Q♥,J♠
8♥,26,4♠,K♦,2♦,10♣,Q♥,J♦,5♥,4♥,6♣,K♥,9♣,7♣
8♥,27,K♠,5♦,2♥,3♣,6♠,Q♠,J♠,K♦,J♦,3♠,6♦,8♦
8♥,28,A♥,4♥,6♦,10♥,4♣,A♦,6♠,10♣,10♦,5♣,3♠,Q♠
8♥,29,3♦,3♣,5♦,4♥,8♦,9♣,A♦,5♥,7♦,2♣,J♦,10♦
8♥,30,8♠,J♠,4♥,5♠,10♥,7♦,Q♠,7♠,J♥,2♦,J♣,Q♣
8♥,31,2♥,7♥,6♣,10♣,10♠,4♦,5♠,2♣,9♥,8♦,10♥,3♥
8♥,32,7♠,9♣,10♣,J♦,Q♣,9♥,6♠,2♠,3♠,K♥,5♠,A♥
8♥,33,6♦,4♠,J♣,10♦,7♦,2♠,J♦,A♦,9♠,8♦,4♦,A♦
8♥,34,8♠,8♣,10♦,2♦,J♠,9♠,K♦,4♦,A♠,7♥,5♥,2♥
8♥,35,5♦,Q♣,2♦,K♣,K♠,K♥,2♥,K♥,9♠,3♥,5♣,6♣
8♥,36,K♥,2♣,J♣,Q♥,4♦,7♣,9♥,K♣,6♣,5♠,4♣,8♠
8♥,37,10♣,Q♣,Q♥,7♠,6♥,A♠,K♦,A♥,Q♠,A♥,6♥,K♣
8♥,38,3♦,2♣,7♠,8♦,3♥,2♦,K♠,5♥,2♠,A♣,3♦,2♠
8♥,39,7♣,Q♣,A♦,K♠,K♣,2♥,8♠,3♠,8♦,J♦,Q♦,6♠
8♥,40,2♥,7♠,3♦,5♠,10♥,6♠,Q♣,3♦,8♣,4♠,9♦,9♠
8♥,41,Q♦,4♦,5♠,2♠,10♦,8♣,4♥,A♦,8♦,6♦,5♦,K♥
8♥,42,9♠,9♣,J♠,J♣,K♥,3♣,2♠,9♦,2♣,4♠,3♣,2♣
8♥,43,7♠,9♥,J♣,J♥,10♠,2♣,A♣,2♣,A♠,5♦,K♦,A♠
8♥,44,7♦,10♥,J♥,Q♥,K♥,2♥,2♣,5♥,3♣,4♣,7♠,7♥
8♥,45,6♣,6♠,Q♥,10♣,8♦,K♠,3♥,9♥,2♥,Q♣,8♥,8♥
8♥,46,K♥,8♠,J♣,10♠,5♥,K♣,7♥,Q♥,2♦,2♠,7♥,7♠
8♥,47,Q♦,3♦,A♥,4♠,8♣,J♦,10♠,A♠,4♦,8♦,A♠,K♦
8♥,48,10♥,9♥,4♠,7♠,J♠,4♦,K♦,4♥,A♠,6♠,2♣,3♣
8♥,49,10♣,5♥,7♠,2♣,2♠,A♦,4♦,8♠,6♦,6♥,K♥,5♦
8♥,50,K♥,K♣,A♥,5♥,3♠,3♦,A♦,K♣,9♠,Q♣,9♠,9♦
8♥,51,9♦,2♣,5♥,7♦,Q♥,A♠,4♥,9♥,4♣,7♥,6♠,Q♦
8♥,52,8♠,K♣,7♦,Q♦,J♥,4♦,A♦,Q♦,2♥,2♦,2♠,3♦
8♥,53,7♠,7♣,3♠,8♣,5♣,J♣,Q♦,J♥,10♠,Q♠,K♣,6♥
8♥,54,J♠,J♦,8♣,4♣,10♥,9♦,Q♥,4♦,8♦,4♠,8♠,4♣
8♥,55,2♣,A♦,2♦,9♥,3♣,J♥,4♣,A♦,Q♣,A♣,6♣,5♣
8♥,56,K♣,Q♦,9♥,J♣,2♠,3♠,5♦,7♠,6♠,6♣,2♦,5♥
8♥,57,7♣,A♦,4♠,8♦,6♥,4♠,J♣,7♣,K♠,9♣,A♦,4♦
8♥,58,J♥,Q♦,8♦,2♥,Q♠,2♦,9♠,3♠,K♥,10♠,A♥,5♠
8♥,59,J♣,4♥,6♦,9♣,K♣,2♣,2♦,8♣,3♣,7♦,3♥,10♥
8♥,60,6♣,3♥,8♦,4♥,7♠,3♦,2♣,5♣,4♠,Q♣,Q♣,J♣
8♥,61,Q♦,K♥,4♥,10♦,9♣,4♠,5♦,J♣,6♥,5♥,10♦,J♦
8♥,62,9♥,4♣,A♥,5♥,A♠,A♦,10♦,Q♦,J♠,Q♥,Q♠,3♠
8♥,63,9♦,K♥,5♥,6♦,10♥,J♣,A♦,J♠,2♠,Q♣,8♦,6♦
8♥,64,10♠,2♥,4♥,Q♠,2♦,6♣,J♣,J♦,Q♦,8♣,7♣,9♣
8♥,65,5♦,3♦,K♠,5♥,2♥,5♣,7♠,8♣,6♣,A♥,J♠,Q♥
8♥,66,2♦,3♥,4♥,4♠,7♦,K♣,J♥,4♣,A♠,9♣,10♣,10♠
8♥,67,6♣,J♦,4♠,5♠,3♠,A♠,K♦,10♥,9♦,K♠,4♠,4♥
8♥,68,8♠,Q♦,5♠,4♣,5♣,Q♠,A♦,9♦,J♠,6♠,4♥,4♠
8♥,69,3♣,K♠,3♦,2♥,Q♦,2♣,3♥,Q♥,Q♠,9♣,10♠,10♣
8♥,70,8♣,2♠,A♠,2♦,5♦,5♥,3♦,2♣,6♥,7♣,Q♥,J♠
8♥,71,4♠,K♦,2♦,10♣,Q♥,J♦,5♥,A♦,6♣,K♥,9♣,7♣
8♥,72,K♠,5♦,A♣,3♣,6♠,Q♠,J♠,2♦,J♦,3♠,6♦,8♦
8♥,73,A♥,4♥,6♦,10♥,4♣,A♦,6♠,7♦,10♦,5♣,3♠,Q♠
8♥,74,3♦,3♣,5♦,4♥,8♦,9♣,A♦,3♣,9♥,2♣,J♦,10♦
8♥,75,8♠,J♠,4♥,5♠,10♥,9♥,Q♠,J♥,J♥,2♦,J♣,Q♣
8♥,76,A♣,7♥,6♣,10♣,10♠,4♦,5♠,4♣,7♦,8♦,10♥,3♥
8♥,77,7♠,9♣,10♣,J♦,Q♣,7♦,6♠,K♣,3♠,K♥,5♠,A♥
8♥,78,6♦,4♠,J♣,10♦,9♥,2♠,J♦,Q♦,9♠,8♦,4♦,A♦
8♥,79,8♠,8♣,10♦,2♦,J♠,9♠,K♦,7♦,A♠,7♥,5♥,2♦
8♥,80,5♦,Q♣,2♦,K♣,K♠,K♥,A♣,J♣,9♠,3♥,5♣,6♣
8♥,81,K♥,2♣,J♣,Q♥,4♦,7♣,7♦,2♠,6♣,5♠,4♣,8♠
8♥,82,10♣,Q♣,Q♥,7♠,6♥,A♠,K♦,3♠,Q♠,A♥,6♥,K♣
8♥,83,3♦,2♣,7♠,8♦,3♥,2♦,K♠,5♦,2♠,2♥,3♦,2♠
8♥,84,7♣,Q♣,A♦,K♠,K♣,A♣,8♠,7♣,8♦,J♦,Q♦,6♠
8♥,85,A♣,7♠,3♦,5♠,10♥,6♠,Q♣,A♦,8♣,4♠,9♦,9♠
8♥,86,Q♦,4♦,5♠,2♠,10♦,8♣,4♥,4♠,8♦,6♦,5♦,K♥
8♥,87,9♠,9♣,J♠,J♣,K♥,3♣,2♠,8♦,2♣,4♠,3♣,2♣
8♥,88,7♠,7♦,J♣,J♥,10♠,2♣,2♥,6♥,A♠,5♦,K♦,A♠
8♥,89,9♥,10♥,J♥,Q♥,K♥,A♣,2♣,4♦,3♣,4♣,7♠,7♥
8♥,90,6♣,6♠,Q♥,10♣,8♦,K♠,3♥,J♣,A♣,Q♣,8♥,8♥
8♣,0,6♦,4♠,10♥,10♦,8♠,A♥,A♦,6♦,Q♦,5♥,None,None
8♣,1,3♠,4♥,5♠,Q♠,6♣,3♥,A♥,4♠,9♦,5♣,None,None
8♣,2,J♦,10♠,4♦,8♦,2♦,Q♣,3♥,10♥,5♦,4♣,None,None
8♣,3,J♣,Q♥,5♥,7♣,A♦,10♦,Q♣,10♦,3♣,6♥,None,None
8♣,4,10♥,9♣,5♣,J♠,A♥,Q♠,10♦,8♠,K♦,3♦,None,None
8♣,5,5♠,6♦,4♣,10♣,3♥,8♦,Q♠,A♥,7♠,Q♦,None,None
8♣,6,4♦,3♠,6♥,4♠,Q♣,7♣,8♦,A♦,8♥,9♦,None,None
8♣,7,5♥,J♦,3♦,4♥,10♦,J♠,7♣,3♠,7♥,5♦,None,None
8♣,8,5♣,J♣,Q♦,10♠,Q♠,10♣,J♠,4♥,A♠,3♣,None,None
8♣,9,4♣,10♥,9♦,Q♥,8♦,4♠,10♣,5♠,2♣,K♣,None,None
8♣,10,6♥,5♠,5♦,9♣,7♣,4♥,4♠,Q♠,K♥,7♠,None,None
8♣,11,3♦,4♦,3♣,6♦,J♠,10♠,4♥,6♣,9♠,8♥,None,None
8♣,12,Q♦,5♥,K♦,3♠,10♣,Q♥,10♠,3♥,6♠,7♥,None,None
8♣,13,9♦,5♣,7♠,J♦,4♠,9♣,Q♥,A♥,2♠,A♠,None,None
8♣,14,5♦,4♣,8♥,J♣,4♥,6♦,9♣,J♦,K♣,2♣,None,None
8♣,15,3♣,6♥,7♥,10♥,10♠,3♠,6♦,10♠,8♠,K♥,None,None
8♣,16,K♦,3♦,A♠,5♠,Q♥,J♦,3♠,4♦,6♣,9♠,None,None
8♣,17,7♠,Q♦,2♣,4♦,9♣,J♣,J♦,8♦,2♦,6♠,None,None
8♣,18,8♥,9♦,K♥,5♥,6♦,10♥,J♣,2♦,A♦,2♠,None,None
8♣,19,7♥,5♦,9♠,5♣,3♠,5♠,10♥,Q♣,A♥,K♣,None,None
8♣,20,A♠,3♣,6♠,4♣,J♦,4♦,5♠,3♥,3♥,8♠,None,None
8♣,21,2♣,K♦,2♠,6♥,J♣,5♥,4♦,J♣,Q♣,6♣,None,None
8♣,22,K♥,7♠,K♣,3♦,10♥,5♣,5♥,Q♥,10♦,2♦,None,None
8♣,23,9♠,8♥,8♠,Q♦,5♠,4♣,5♣,5♥,Q♠,A♦,None,None
8♣,24,6♠,7♥,6♣,9♦,4♦,6♥,4♣,7♣,8♦,A♥,None,None
8♣,25,2♠,A♠,2♦,5♦,5♥,3♦,6♥,A♦,7♣,3♥,None,None
8♣,26,K♣,2♣,A♦,3♣,5♣,Q♦,3♦,10♦,J♠,Q♣,None,None
8♣,27,8♠,K♥,A♥,K♦,4♣,9♦,Q♦,Q♣,10♣,10♦,None,None
8♣,28,6♣,9♠,3♥,7♠,6♥,5♦,9♦,10♥,4♠,Q♠,None,None
8♣,29,2♦,6♠,Q♣,8♥,3♦,3♣,5♦,9♣,4♥,8♦,None,None
8♣,30,A♦,2♠,10♦,7♥,Q♦,K♦,3♣,5♣,10♠,7♣,None,None
8♣,31,A♥,K♣,Q♠,A♠,9♦,7♠,K♦,J♠,Q♥,J♠,None,None
8♣,32,3♥,8♠,8♦,2♣,5♦,8♥,7♠,A♥,9♣,10♣,None,None
8♣,33,Q♣,6♣,7♣,K♥,3♣,7♥,8♥,Q♠,6♦,Q♠,None,None
8♣,34,10♦,2♦,J♠,9♠,K♦,A♠,7♥,10♦,3♠,4♥,None,None
8♣,35,Q♠,A♦,10♣,6♠,7♠,2♣,A♠,5♠,J♦,10♠,None,None
8♣,36,8♦,A♥,4♠,2♠,8♥,K♥,2♣,6♦,J♣,Q♥,None,None
8♣,37,7♣,3♥,4♥,K♣,7♥,9♠,K♥,4♣,10♥,9♣,None,None
8♣,38,J♠,Q♣,10♠,8♠,A♠,6♠,9♠,10♣,5♠,6♦,None,None
8♣,39,10♣,10♦,Q♥,6♣,2♣,2♠,6♠,3♥,4♦,3♠,None,None
8♣,40,4♠,Q♠,9♣,2♦,K♥,K♣,2♠,8♦,5♥,J♦,None,None
8♣,41,4♥,8♦,6♦,A♦,9♠,8♠,K♣,Q♠,5♣,J♣,None,None
8♣,42,10♠,7♣,3♠,A♥,6♠,6♣,8♠,4♦,4♣,10♥,None,None
8♣,43,Q♥,J♠,J♦,3♥,2♠,2♦,6♣,3♠,6♥,5♠,None,None
8♣,44,9♣,10♣,J♣,Q♣,K♣,A♦,2♦,6♥,3♦,4♦,None,None
8♣,45,6♦,4♠,10♥,10♦,8♠,A♥,A♦,4♠,Q♦,5♥,None,None
8♣,46,3♠,4♥,5♠,Q♠,6♣,3♥,A♥,Q♣,9♦,5♣,None,None
8♣,47,J♦,10♠,4♦,8♦,2♦,Q♣,3♥,7♣,5♦,4♣,None,None
8♣,48,J♣,Q♥,5♥,7♣,A♦,10♦,Q♣,8♦,3♣,6♥,None,None
8♣,49,10♥,9♣,5♣,J♠,A♥,Q♠,10♦,5♥,K♦,3♦,None,None
8♣,50,5♠,6♦,4♣,10♣,3♥,8♦,Q♠,J♦,7♠,Q♦,None,None
8♣,51,4♦,3♠,6♥,4♠,Q♣,7♣,8♦,3♦,8♥,9♦,None,None
8♣,52,5♥,J♦,3♦,4♥,10♦,J♠,7♣,4♥,7♥,5♦,None,None
8♣,53,5♣,J♣,Q♦,10♠,Q♣,10♣,J♠,10♦,A♠,3♣,None,None
8♣,54,4♣,10♥,9♦,Q♥,8♦,4♠,10♣,J♠,2♣,K♦,None,None
8♣,55,6♥,5♠,5♦,9♣,7♣,4♥,4♠,7♣,K♥,7♠,None,None
8♣,56,3♦,4♦,3♣,6♦,J♠,10♠,4♥,5♣,9♠,8♥,None,None
8♣,57,Q♦,5♥,K♦,3♠,10♣,Q♥,10♠,J♣,6♠,7♥,None,None
8♣,58,9♦,5♣,7♠,J♦,4♠,9♣,Q♥,Q♦,2♠,A♠,None,None
8♣,59,5♦,4♣,8♥,J♣,4♥,6♦,9♣,10♠,K♣,2♣,None,None
8♣,60,3♣,6♥,7♥,10♥,10♠,3♠,6♦,Q♠,8♠,K♥,None,None
8♣,61,K♦,3♦,A♠,5♠,Q♥,J♦,3♠,10♣,6♣,9♠,None,None
8♣,62,7♠,Q♦,2♣,4♦,9♣,J♣,J♦,J♠,2♦,6♠,None,None
8♣,63,8♥,9♦,K♥,5♥,6♦,10♥,J♣,4♣,A♦,2♠,None,None
8♣,64,7♥,5♦,9♠,5♣,3♠,5♠,10♥,10♥,A♥,K♣,None,None
8♣,65,A♠,3♣,6♠,4♣,J♦,4♦,5♠,9♦,3♥,8♠,None,None
8♣,66,2♣,K♦,2♠,6♥,J♣,5♥,4♦,Q♥,Q♣,6♣,None,None
8♣,67,K♥,7♠,K♣,3♦,10♥,5♣,5♥,8♦,10♦,2♦,None,None
8♣,68,9♠,8♥,8♠,Q♦,5♠,4♣,5♣,4♠,Q♠,A♦,None,None
8♣,69,6♠,7♥,6♣,9♦,4♦,6♥,4♣,10♣,8♦,A♥,None,None
8♣,70,2♠,A♠,2♦,5♦,5♥,3♦,6♥,6♥,7♣,3♥,None,None
8♣,71,K♣,2♣,A♦,3♣,5♣,Q♦,3♦,5♠,J♠,Q♣,None,None
8♣,72,8♠,K♥,A♥,K♦,4♣,9♦,Q♦,5♦,10♣,10♦,None,None
8♣,73,6♣,9♠,3♥,7♠,6♥,5♦,9♦,9♣,4♠,Q♠,None,None
8♣,74,2♦,6♠,Q♣,8♥,3♦,3♣,5♦,7♣,4♥,8♦,None,None
8♣,75,A♦,2♠,10♦,7♥,Q♦,K♦,3♣,4♥,10♠,7♣,None,None
8♣,76,A♥,K♣,Q♠,A♠,9♦,7♠,K♦,4♠,Q♥,J♠,None,None
8♣,77,3♥,8♠,8♦,2♣,5♦,8♥,7♠,3♦,9♣,10♣,None,None
8♣,78,Q♣,6♣,7♣,K♥,3♣,7♥,8♥,4♦,6♦,4♠,None,None
8♣,79,10♦,2♦,J♠,9♠,K♦,A♠,7♥,3♣,3♠,4♥,None,None
8♣,80,Q♠,A♦,10♣,6♠,7♠,2♣,A♠,6♦,J♦,10♠,None,None
8♣,81,8♦,A♥,4♠,2♠,8♥,K♥,2♣,J♠,J♣,Q♥,None,None
8♣,82,7♣,3♥,4♥,K♣,7♥,9♠,K♥,10♠,10♥,9♣,None,None
8♣,83,J♠,Q♣,10♠,8♠,A♠,6♠,9♠,4♥,5♠,6♦,None,None
8♣,84,10♣,10♦,Q♥,6♣,2♣,2♠,6♠,Q♦,4♦,3♠,None,None
8♣,85,4♠,Q♠,9♣,2♦,K♥,K♣,2♠,5♥,5♥,J♦,None,None
8♣,86,4♥,8♦,6♦,A♦,9♠,8♠,K♣,K♦,5♣,J♣,None,None
8♣,87,10♠,7♣,3♠,A♥,6♠,6♣,8♠,3♠,4♣,10♥,None,None
8♣,88,Q♥,J♠,J♦,3♥,2♠,2♦,6♣,10♣,6♥,5♠,None,None
8♣,89,9♣,10♣,J♣,Q♣,K♣,A♦,2♦,Q♥,3♦,4♦,None,None
8♣,90,6♦,4♠,10♥,10♦,8♠,A♥,A♦,10♠,Q♦,5♥,None,None
8♦,0,K♠,3♥,A♣,Q♣,10♠,5♣,3♦,K♠,A♠,7♥,8♦,8♦
8♦,1,10♥,5♦,8♥,K♥,8♠,J♣,10♠,3♥,5♥,K♣,7♣,Q♠
8♦,2,2♦,Q♣,3♥,5♦,4♣,7♠,J♣,A♣,9♥,10♣,J♠,10♦
8♦,3,6♦,3♦,5♦,9♠,K♥,9♥,5♣,Q♣,J♥,J♦,10♣,Q♣
8♦,4,A♣,7♣,3♠,Q♦,3♣,6♠,9♠,10♠,7♦,4♣,4♠,3♥
8♦,5,Q♠,7♠,Q♦,A♠,4♦,7♦,10♠,5♣,7♥,4♠,4♥,A♥
8♦,6,8♥,9♦,2♣,5♥,9♥,Q♥,A♠,3♦,4♥,4♣,10♠,A♦
8♦,7,6♦,8♣,5♥,J♦,3♦,4♥,10♦,10♥,J♠,7♣,Q♥,2♦
8♦,8,3♥,4♦,J♦,9♣,K♠,4♠,A♣,5♦,4♥,5♠,9♣,6♣
8♦,9,4♠,10♣,2♣,K♦,6♠,6♥,7♦,8♥,3♠,9♠,6♦,8♠
8♦,10,Q♦,4♦,K♦,Q♠,6♣,J♠,10♦,K♥,5♣,10♥,3♠,K♣
8♦,11,2♦,10♣,Q♠,4♣,5♠,J♦,K♠,8♠,Q♥,2♥,J♦,2♠
8♦,12,6♥,4♦,J♣,K♠,9♣,A♣,6♦,J♣,4♣,A♠,J♣,6♠
8♦,13,A♣,Q♠,2♦,9♠,K♥,10♠,4♦,10♠,8♣,9♦,10♥,9♠
8♦,14,A♦,6♠,9♠,Q♥,5♥,8♣,5♦,2♦,4♣,8♥,5♠,K♥
8♦,15,4♥,7♠,3♦,2♣,4♠,Q♣,Q♥,Q♣,10♣,9♦,4♦,2♣
8♦,16,Q♠,7♦,2♣,J♥,3♣,10♣,2♥,3♥,J♠,3♥,5♥,A♠
8♦,17,9♥,K♥,J♥,K♦,4♠,A♣,10♣,5♦,Q♣,8♠,5♣,7♥
8♦,18,3♠,10♠,K♦,Q♦,4♣,K♠,5♠,4♣,A♣,4♦,4♣,8♥
8♦,19,4♠,6♦,2♣,3♣,2♠,9♣,7♣,7♠,J♦,Q♥,6♥,7♠
8♦,20,A♦,2♦,10♥,9♦,8♣,A♠,3♣,J♣,6♠,4♣,3♦,K♦
8♦,21,K♥,7♦,9♦,Q♠,3♦,6♠,10♦,6♦,J♠,10♠,Q♦,3♣
8♦,22,Q♦,2♠,Q♠,10♣,Q♥,J♣,6♠,3♦,8♥,6♣,9♦,5♦
8♦,23,4♠,9♣,10♥,2♠,7♥,2♦,J♣,5♦,4♥,4♦,5♦,9♦
8♦,24,A♥,10♣,2♠,9♥,K♦,J♠,5♦,9♠,8♠,7♣,3♣,Q♦
8♦,25,6♦,9♣,9♥,A♦,J♥,6♠,J♣,K♥,A♣,J♦,K♦,3♦
8♦,26,Q♠,6♥,7♥,8♣,K♣,2♣,A♦,9♥,3♣,5♥,7♠,6♥
8♦,27,3♦,A♠,8♣,8♠,K♥,A♥,K♦,5♣,4♣,9♦,8♥,4♣
8♦,28,10♣,J♣,J♦,7♦,Q♣,J♥,8♠,A♣,4♦,2♥,7♥,5♣
8♦,29,9♣,A♦,7♦,2♣,Q♥,7♥,3♥,7♣,10♠,3♠,A♠,5♥
8♦,30,6♥,J♣,9♦,4♣,6♣,6♠,2♣,3♠,K♠,7♠,2♣,4♦
8♦,31,J♥,A♦,4♣,A♣,5♣,J♦,4♥,Q♦,4♠,3♣,K♥,5♠
8♦,32,2♣,5♦,8♥,7♠,9♣,10♣,J♦,3♣,Q♣,9♥,9♠,10♥
8♦,33,3♠,5♠,4♣,5♦,Q♠,2♦,10♣,6♠,9♦,4♦,6♠,J♣
8♦,34,A♦,4♠,5♦,5♥,7♠,9♦,3♥,9♠,6♣,2♠,2♠,J♦
8♦,35,7♦,8♠,10♥,2♠,J♠,J♣,5♥,Q♠,3♦,K♦,K♣,3♠
8♦,36,A♥,4♠,2♠,8♥,K♥,2♣,J♣,7♠,Q♥,4♦,8♠,6♦
8♦,37,3♣,A♣,5♦,5♣,J♦,3♠,2♣,Q♦,A♦,8♣,6♣,9♣
8♦,38,3♥,2♦,K♠,2♠,A♣,K♣,Q♠,A♠,3♠,10♥,2♦,Q♥
8♦,39,J♦,5♠,5♦,9♦,9♥,9♣,J♥,4♦,J♠,7♠,A♦,10♠
8♦,40,3♠,A♠,9♦,9♠,7♥,J♠,10♦,7♦,A♥,K♠,A♥,4♥
8♦,41,6♦,A♦,9♠,8♠,K♣,5♣,J♣,10♠,3♦,10♠,3♥,4♠
8♦,42,Q♣,K♠,2♦,A♣,A♦,10♣,5♠,8♥,5♣,7♠,Q♣,10♣
8♦,43,8♣,Q♥,J♠,J♦,3♥,2♠,2♦,9♦,6♣,6♥,10♦,J♠
8♦,44,9♦,10♦,J♦,Q♦,K♦,A♠,2♠,2♣,3♠,4♠,Q♠,7♣
8♦,45,K♠,3♥,2♥,Q♣,10♠,5♣,3♦,5♥,A♠,7♥,8♦,8♦
8♦,46,10♥,5♦,8♥,K♥,8♠,J♣,10♠,9♥,5♥,K♣,7♣,Q♠
8♦,47,2♦,Q♣,3♥,5♦,4♣,7♠,J♣,Q♥,7♦,10♣,J♠,10♦
8♦,48,6♦,3♦,5♦,9♠,K♥,7♦,5♣,A♠,J♥,J♦,10♣,Q♣
8♦,49,2♥,7♣,3♠,Q♦,3♣,6♠,9♠,6♦,9♥,4♣,4♠,3♥
8♦,50,Q♠,7♠,Q♦,A♠,4♦,9♥,10♠,8♣,7♥,4♠,4♥,A♥
8♦,51,8♥,9♦,2♣,5♥,7♦,Q♥,A♠,5♥,4♥,4♣,10♠,A♦
8♦,52,6♦,8♣,5♥,J♦,3♦,4♥,10♦,J♦,J♠,7♣,Q♥,2♦
8♦,53,3♥,4♦,J♦,9♣,K♠,4♠,2♥,3♦,4♥,5♠,9♣,6♣
8♦,54,4♠,10♣,2♣,K♦,6♠,6♥,9♥,4♥,3♠,9♠,6♦,8♠
8♦,55,Q♦,4♦,K♦,Q♠,6♣,J♠,10♦,`10♦,5♣,10♥,3♠,K♣
8♦,56,2♦,10♣,Q♠,4♣,5♠,J♦,K♠,3♥,Q♥,A♣,J♦,2♠
8♦,57,6♥,4♦,J♣,K♠,9♣,2♥,6♦,4♦,4♣,A♠,J♣,6♠
8♦,58,2♥,Q♠,2♦,9♠,K♥,10♠,4♦,J♦,8♣,9♦,10♥,9♠
8♦,59,A♦,6♠,9♠,Q♥,5♥,8♣,5♦,9♣,4♣,8♥,5♠,K♥
8♦,60,4♥,7♠,3♦,2♣,4♠,Q♣,Q♥,K♠,10♣,9♦,4♦,2♣
8♦,61,Q♠,9♥,2♣,J♥,3♣,10♣,A♣,4♠,J♠,3♥,5♥,A♠
8♦,62,7♦,K♥,J♥,K♦,4♠,2♥,10♣,A♣,Q♣,8♠,5♣,7♥
8♦,63,3♠,10♠,K♦,Q♦,4♣,K♠,5♠,4♠,2♥,4♦,4♣,8♥
8♦,64,4♠,6♦,2♣,3♣,2♠,9♣,7♣,10♣,J♦,Q♥,6♥,7♠
8♦,65,A♦,2♦,10♥,9♦,8♣,A♠,3♣,2♣,6♠,4♣,3♦,K♦
8♦,66,K♥,9♥,9♦,Q♠,3♦,6♠,10♦,K♦,J♠,10♠,Q♦,3♣
8♦,67,Q♦,2♣,Q♠,10♣,Q♥,J♣,6♠,6♠,8♥,6♣,9♦,5♦
8♦,68,4♠,9♣,10♥,2♠,7♥,2♦,J♣,6♥,4♥,4♦,5♦,9♦
8♦,69,A♥,10♣,2♠,7♦,K♦,J♠,5♦,7♦,8♠,7♣,3♣,Q♦
8♦,70,6♦,9♣,7♦,A♦,J♥,6♠,J♣,Q♦,2♥,J♦,K♦,3♦
8♦,71,Q♠,6♥,7♥,8♣,K♣,2♣,A♦,4♦,3♣,5♣,7♠,6♥
8♦,72,3♦,A♠,8♣,8♠,K♥,A♥,K♦,K♦,4♣,9♦,8♥,4♣
8♦,73,10♣,J♣,J♦,9♥,Q♣,J♥,8♠,Q♠,4♦,A♣,7♥,5♣
8♦,74,9♣,A♦,9♥,2♣,Q♥,7♥,3♥,6♣,10♠,3♠,A♠,5♥
8♦,75,6♥,J♣,9♦,4♣,6♣,6♠,2♣,J♠,K♠,7♠,2♣,4♦
8♦,76,J♥,A♦,4♣,2♥,5♣,J♦,4♥,10♦,4♠,3♣,K♥,5♠
8♦,77,2♣,5♦,8♥,7♠,9♣,10♣,J♦,2♦,Q♣,7♦,9♠,10♥
8♦,78,3♠,5♠,4♣,5♦,Q♠,2♦,10♣,10♣,9♦,4♦,6♠,J♣
8♦,79,A♦,4♠,5♦,5♥,7♠,9♦,3♥,Q♠,6♣,2♠,2♠,J♦
8♦,80,9♥,8♠,10♥,2♠,J♠,J♣,5♥,4♣,3♦,K♦,K♣,3♠
8♦,81,A♥,4♠,2♠,8♥,K♥,2♣,J♣,5♠,Q♥,4♦,8♠,6♦
8♦,82,3♣,2♠,5♦,5♣,J♦,3♠,2♣,J♦,A♦,8♣,6♣,9♣
8♦,83,3♥,2♦,K♠,2♠,2♥,K♣,Q♠,K♠,3♠,10♥,2♦,Q♥
